genres,runtime,certificate,title,rate,year,votes,imgurl,desc
"Action, Adventure, Fantasy",136,PG-13,Star Wars: The Force Awakens,8,2015,716042,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_UX67_CR0,0,67,98_AL_.jpg","Three decades after the Empire's defeat, a new threat arises in the militant First Order. Stormtrooper defector Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker."
"Comedy, Crime, Drama",115,R,"Three Billboards Outside Ebbing, Missouri",8.4,2017,19174,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTZjYzU2NTktNTdmNi00OTM0LTg5MDgtNGFjOGMzNjY0MDk5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
"Action, Adventure, Drama",43,TV-PG,The Flash,8,2014,237608,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTQzNmEwZTMtZGNkNC00YjQ5LThhYzMtZTBhNzUzODI5ZjRjXkEyXkFqcGdeQXVyMjM5NzU3OTM@._V1_UY98_CR5,0,67,98_AL_.jpg","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City."
"Crime, Drama, Mystery",45,TV-14,Riverdale,7.8,2017,43694,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDNmNmI5MGItMjUyOC00ODg4LWE0NmEtMzg5MjUzOWI2MDcwXkEyXkFqcGdeQXVyNjYzNDE4ODA@._V1_UX67_CR0,0,67,98_AL_.jpg","A subversive take on Archie and his friends, exploring small town life, the darkness and weirdness bubbling beneath Riverdale's wholesome facade."
"Biography, Drama, Sport",119,R,"I, Tonya",7.7,2017,5776,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5MDY1NjYzMl5BMl5BanBnXkFtZTgwNjIzNDAxNDM@._V1_UX67_CR0,0,67,98_AL_.jpg",Competitive ice skater
"Drama, Romance",41,TV-14,Grey's Anatomy,7.7,2005,184810,"https://images-na.ssl-images-amazon.com/images/M/MV5BYTc3Y2RjY2QtN2ViNC00NDdkLTg2YWMtYWNiZjQzNTg5ZjJlXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UX67_CR0,0,67,98_AL_.jpg",A drama centered on the personal and professional lives of five surgical interns and their supervisors.
Western,"
Western            ",,Godless,8.5,2017,17184,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NzkxNDcxNF5BMl5BanBnXkFtZTgwOTI5ODM5MzI@._V1_UX67_CR0,0,67,98_AL_.jpg","Frank Griffin, an outlaw terrorizing the 1880s American West, hunts down Roy Goode, his partner turned enemy. Roy hides out at a ranch as Frank's chase leads him to La Belle, New Mexico - a town mysteriously made up almost entirely of women."
"Action, Crime, Drama",113,R,The Foreigner,7.1,2017,29711,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2RlMjcyMGQtZTU3OC00NGRlLWExMGEtYjU3ZjUyMDc0NWZmXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UX67_CR0,0,67,98_AL_.jpg","A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities."
"Biography, Drama, History",115,PG-13,The Post,6.6,2017,990,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQyMjEwOTIwNV5BMl5BanBnXkFtZTgwOTkzNTMxNDM@._V1_UX67_CR0,0,67,98_AL_.jpg",A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government.
"Animation, Adventure, Comedy",23,TV-14,Rick and Morty,9.3,2013,185594,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjRiNDRhNGUtMzRkZi00MThlLTg0ZDMtNjc5YzFjYmFjMmM4XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UY98_CR0,0,67,98_AL_.jpg",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
